R001|C001|V001|5|2500|12500|8|8|2026|13|8|2026|13|8|2026|0|0|0
R002|C002|V002|7|2200|15400|1|8|2026|8|8|2026|10|8|2026|2|4400|0
R003|C003|V004|4|2000|8000|5|8|2026|9|8|2026|9|8|2026|0|0|0
R004|C004|V005|6|1800|10800|2|8|2026|8|8|2026|12|8|2026|4|7200|0
R005|C005|V007|3|2100|6300|10|8|2026|13|8|2026|0|0|0|0|0|1
R006|C006|V009|8|2000|16000|1|8|2026|9|8|2026|15|8|2026|6|12000|0
R007|C007|V012|5|1500|7500|6|8|2026|11|8|2026|11|8|2026|0|0|0
R008|C008|V013|4|1300|5200|3|8|2026|7|8|2026|9|8|2026|2|2600|0
R009|C009|V015|7|1700|11900|4|8|2026|11|8|2026|14|8|2026|3|5100|0
R010|C010|V016|6|1900|11400|8|8|2026|14|8|2026|0|0|0|0|0|1
R011|C011|V017|5|2400|12000|7|8|2026|12|8|2026|12|8|2026|0|0|0
R012|C012|V019|10|2600|26000|1|8|2026|11|8|2026|18|8|2026|7|18200|0
R013|C013|V021|3|1100|3300|12|8|2026|15|8|2026|0|0|0|0|0|1
R014|C014|V022|4|1400|5600|9|8|2026|13|8|2026|13|8|2026|0|0|0
R015|C015|V023|5|1350|6750|5|8|2026|10|8|2026|12|8|2026|2|2700|0
R016|C016|V025|8|2150|17200|2|8|2026|10|8|2026|16|8|2026|6|12900|0
R017|C017|V026|6|1700|10200|3|8|2026|9|8|2026|11|8|2026|2|3400|0
R018|C018|V027|7|2650|18550|6|8|2026|13|8|2026|0|0|0|0|0|1
R019|C019|V029|5|1850|9250|10|8|2026|15|8|2026|17|8|2026|2|3700|0
R020|C020|V030|4|1450|5800|11|8|2026|15|8|2026|15|8|2026|0|0|0
R021|C021|V031|6|2300|13800|4|8|2026|10|8|2026|14|8|2026|4|9200|0
R022|C022|V033|5|2050|10250|7|8|2026|12|8|2026|0|0|0|0|0|1
R023|C023|V035|8|2750|22000|1|8|2026|9|8|2026|13|8|2026|4|11000|0
R024|C024|V002|3|2200|6600|13|8|2026|16|8|2026|0|0|0|0|0|1
R025|C025|V004|5|2000|10000|8|8|2026|13|8|2026|18|8|2026|5|10000|0
R026|C026|V009|4|2000|8000|5|8|2026|9|8|2026|11|8|2026|2|4000|0
R027|C027|V012|6|1500|9000|2|8|2026|8|8|2026|10|8|2026|2|3000|0
R028|C028|V015|7|1700|11900|9|8|2026|16|8|2026|0|0|0|0|0|1
R029|C029|V017|5|2400|12000|6|8|2026|11|8|2026|12|8|2026|1|2400|0
R030|C030|V019|10|2600|26000|1|8|2026|11|8|2026|15|8|2026|4|10400|0
R031|C031|V021|3|1100|3300|14|8|2026|17|8|2026|0|0|0|0|0|1
R032|C032|V025|4|2150|8600|11|8|2026|15|8|2026|16|8|2026|1|2150|0
R033|C033|V027|6|2650|15900|3|8|2026|9|8|2026|10|8|2026|1|2650|0
R034|C034|V029|5|1850|9250|7|8|2026|12|8|2026|0|0|0|0|0|1
R035|C035|V031|8|2300|18400|2|8|2026|10|8|2026|14|8|2026|4|9200|0
